Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Central African Republic,1986,,,,,0
Chad,1986,,,,,0
Chile,1986,5,6.26,6.29,2.52,0
China,1986,474.4,818.3,107.41,427.25,0
Colombia,1986,11.73,10.78,14.07,3.67,1.0635
Comoros,1986,,,,,0
Congo,1986,0,0.04,0.55,0.08,0
"Congo, Dem. Republic",1986,0.15,0.79,0.54,1.49,0
Cook Islands,1986,,,,,0
Costa Rica,1986,0.18,0.54,1.3,0.07,0
Cote d'Ivoire,1986,1.02,0.44,1.14,0.44,0
Croatia,1986,15.00624229,7.457864784,5.136627742,2.330874007,0
Cuba,1986,11.38,10.35,5.57,5.14,0
Cyprus,1986,1.24,0.84,0.84,0.14,0
Czech Republic,1986,57.17,70.47,6.59,38.88,
Denmark,1986,31.86,6.7,11.17,11.37,0.48832
Djibouti,1986,,,,,0
Dominica,1986,,,,,0
Dominican Republic,1986,3.79,0.72,2.08,0.4,0
Ecuador,1986,1.57,2.02,5.88,2.54,1.40815
Egypt,1986,20.48,21.34,11.97,12.42,1.70115
El Salvador,1986,0.15,0.49,0.94,0.16,0
Equatorial Guinea,1986,,,,,0
Eritrea,1986,,,,,
Estonia,1986,,,,,0
Ethiopia,1986,0.29,0.36,0.75,0.27,0
Fiji,1986,,,,,0
Finland,1986,16.93,14.18,9.98,8.39,0
France,1986,57.34,83.45,96.76,110.21,0
Gabon,1986,0.24,0.51,0.47,0.33,2.4744
Gambia,1986,,,,,0
Georgia,1986,,,,,0
Germany,1986,419.87,203.57,135.97,256.93,
Ghana,1986,0.12,0.32,1.34,0.52,0
Greece,1986,26.8,9.77,11.93,6.13,0
Grenada,1986,,,,,0
Guatemala,1986,0.15,0.51,1.21,0.49,0
Guinea,1986,,,,,0
Guinea-Bissau,1986,,,,,0
Guyana,1986,,,,,0
Haiti,1986,0.17,0.18,0.32,0.06,0
Honduras,1986,0.07,0.48,0.86,0.27,0
Hungary,1986,32.22,18.84,8.05,20.23,0
Iceland,1986,0.01,0.57,0.52,0.59,0
India,1986,177.01,149.09,69.67,53.73,5.66706
Indonesia,1986,24.67,33.2,22.14,17.75,5.84924
Iran,1986,29.83,28.73,32.72,44.41,9.09888
Iraq,1986,15.62,7.28,15.58,4.78,12.68267
Ireland,1986,9.23,5.65,4.43,8.44,0
Israel,1986,14.91,4.18,5.24,2.69,0
Italy,1986,117,74.34,82.2,75.99,0
Jamaica,1986,1.24,1.64,0.8,0.72,0
Japan,1986,333.85,242.41,163.53,137.28,0
Jordan,1986,3.13,1.35,2.85,0.85,0
Kazakhstan,1986,,,,,0
Kenya,1986,0.57,1.25,2.58,0.87,0
Kiribati,1986,,,,,0
Korea (North),1986,16.54,82.96,3.54,21,0
Korea (South),1986,45.79,30.33,22.14,61.4,0
Kuwait,1986,18.5,7.3,9.36,5.53,1.18565
Kyrgyzstan,1986,,,,,0
Laos,1986,,,,,0
Latvia,1986,,,,,0
Lebanon,1986,3.37,0.15,2.05,1.41,0
Lesotho,1986,,,,,0
Liberia,1986,,,,,0
Libya,1986,13.75,4.05,5.65,0.56,1.28878
Lithuania,1986,,,,,0
Luxembourg,1986,1.25,5.31,1.6,1.45,0
"Macedonia, FYR",1986,6.951973094,2.192876365,1.521843595,0.420544835,0
Madagascar,1986,,,,,0
Malawi,1986,,,,,0
Malaysia,1986,11.48,10.81,9.7,1.58,3.85149
Maldives,1986,,,,,0
Mali,1986,,,,,0
Malta,1986,1.33,0,0.45,0.07,0
Mauritania,1986,,,,,0
Mauritius,1986,,,,,0
Mexico,1986,87.08,66.73,69.43,25.59,3.57055
Moldova,1986,,,,,0
Mongolia,1986,5.86,2.5,1.29,2.95,0
Montenegro,1986,,,,,
Morocco,1986,6.71,4.89,2.73,2.67,0
Mozambique,1986,0.45,0.09,0.1,0.81,0
Myanmar,1986,2.01,2.08,2.08,0.04,0
Namibia,1986,,,,,
Nauru,1986,,,,,0
Nepal,1986,0.01,0.24,0.23,0.25,0
Netherlands,1986,49.54,53.18,23.19,43.06,0
New Zealand,1986,3.66,5.32,7.44,2.14,0
Nicaragua,1986,0.61,0.35,0.9,0.27,0
Niger,1986,,,,,0
Nigeria,1986,8.68,4.34,12.93,5.03,22.93941
Niue,1986,,,,,0
Norway,1986,6.86,9.46,9.94,4.03,0.31875
Oman,1986,3.54,0.38,1.29,0.99,0.5155
Pakistan,1986,8.24,15.03,10.28,7.57,0
Palau,1986,,,,,
Panama,1986,0.72,0.7,1.15,0.18,0
Papua New Guinea,1986,,,,,0
Paraguay,1986,0.06,0.1,1.2,0.1,0
Peru,1986,4.08,5.11,6.17,4.25,1.47097
Philippines,1986,7.96,6.13,9.53,2.75,0
Poland,1986,245.11,62.59,24.61,93.22,0
Portugal,1986,10.08,7.82,7.11,3.08,0
Qatar,1986,5.91,5.96,1.22,0.05,0
Romania,1986,71.71,71.26,3.95,31.49,0
Russian Federation,1986,,,,,16.17306737
Rwanda,1986,,,,,0
Saint Kitts & Nevis,1986,,,,,0
Saint Lucia,1986,,,,,0
Saint Vincent & Grenadines,1986,,,,,0
Samoa,1986,,,,,0
Sao Tome & Principe,1986,,,,,0
Saudi Arabia,1986,63.38,25.83,39.93,1.68,5.05191
Senegal,1986,0.8,0.4,0.71,0.13,0
Serbia,1986,42.92663981,11.763687,4.896507431,4.178206583,0
Seychelles,1986,,,,,0
Sierra Leone,1986,,,,,0
Singapore,1986,11.23,1.62,3.44,0.34,0
Slovakia,1986,18.46,16.82,3.42,13.03,
Slovenia,1986,6.78,3.41,2.3,1.93,0
Solomon Islands,1986,,,,,0
South Africa,1986,124.49,64.83,25.78,10.6,0
Spain,1986,69.46,43.12,45.21,21.34,0
Sri Lanka,1986,0.16,0.44,2.42,0.54,0
Sudan,1986,0.47,0.95,2.56,0.15,0
Suriname,1986,,,,,0
Swaziland,1986,,,,,0
Sweden,1986,13.38,13.2,19.33,14.53,0
Switzerland,1986,1.3,8.13,12.3,19.61,0
Syria,1986,5.13,6.89,4.96,5,0
Taiwan,1986,34.83,26.49,12.65,9.02,0
Tajikistan,1986,,,,,0
Tanzania,1986,0.29,0.36,0.63,0.3,0
Thailand,1986,14.46,7.33,15.09,6.05,0
Togo,1986,0.03,0,0.4,0.04,0
Tonga,1986,,,,,0
Trinidad & Tobago,1986,4.33,3.47,1.7,0.19,5.55677
Tunisia,1986,3.31,2.46,2.18,1.89,0
Turkey,1986,34.84,23.1,22.04,23.11,0
Turkmenistan,1986,,,,,0
Uganda,1986,,,,,0
Ukraine,1986,,,,,0
United Arab Emirates,1986,10.39,20.18,9.29,0.15,9.02128
United Kingdom,1986,242.21,90.91,102.14,123.92,3.91628
United States of America,1986,1843.71,748.71,1308.27,621.31,5.52209
Uruguay,1986,0.21,0.7,1.31,0.87,0
Uzbekistan,1986,,,,,0
Vanuatu,1986,,,,,0
Venezuela,1986,38.48,24.96,27.46,4.93,5.27761
Vietnam,1986,5.75,7.92,3.16,2.13,0
Yemen,1986,1.18,0.15,3.27,0.64,0
Zambia,1986,0.21,1.63,0.71,0.27,0
Zimbabwe,1986,3.77,3.17,2.09,1.75,0
World,1986,7115.05,4563.36,3437.22,3337.84,152.79315
European Union (15),1986,1102.68,652.72,580.55,731.8,4.4046
European Union (28),1986,1593.276242,917.1278648,639.5466277,957.260874,4.4046
Afghanistan,1987,,,,,0.30929
Albania,1987,1.26,2.97,1.03,2.18,0
Algeria,1987,22.58,6.01,12.54,5.96,12.89786
Angola,1987,0.37,0.89,1.03,0.62,0
Antigua & Barbuda,1987,,,,,0
Argentina,1987,34.11,17.12,29.03,21.55,4.79903
Armenia,1987,,,,,0
Australia,1987,121.86,42.35,56.6,11.18,0
Austria,1987,13.36,12.53,11.89,16.43,0
Azerbaijan,1987,,,,,1.382668482
Bahamas,1987,,,,,0
Bahrain,1987,6.13,4.31,0.83,0.1,0
Bangladesh,1987,3.69,3.25,1.4,2.48,0
Barbados,1987,,,,,0
Belarus,1987,,,,,0
Belgium,1987,26.15,28.27,18.39,30.01,0
Belize,1987,,,,,0
Benin,1987,0.03,0.02,0.28,0.03,0
Bhutan,1987,,,,,0
Bolivia,1987,1.28,0.39,1.96,0.71,0.29542
Bosnia & Herzegovina,1987,7.646332726,5.841142605,2.014791224,3.746407491,0
Botswana,1987,0.83,0.55,0.42,0.08,0
Brazil,1987,30.26,57.14,75.42,24.26,2.01666
Brunei,1987,2.36,0.1,0.48,0.04,0.6575
Bulgaria,1987,42.66,12.65,3.68,24.09,0
Burkina Faso,1987,,,,,0
Burundi,1987,,,,,0
Cambodia,1987,,,,,0
Cameroon,1987,0.05,0.25,1.65,0.39,5.20656
Canada,1987,125.09,88.36,118.04,74.07,4.64763
Cape Verde,1987,,,,,0
Central African Republic,1987,,,,,0
Chad,1987,,,,,0
Chile,1987,4.98,6.26,6.72,2.41,0.14771
China,1987,525.69,882.53,112.88,444.35,0
Colombia,1987,11.67,11.61,14.5,4.85,0.82332
Comoros,1987,,,,,0
Congo,1987,0,0.06,0.55,0.08,0
"Congo, Dem. Republic",1987,0.16,0.82,0.56,1.75,0
Cook Islands,1987,,,,,0
Costa Rica,1987,0.23,0.56,1.37,0.07,0
Cote d'Ivoire,1987,1.01,0.45,1.08,0.45,0
Croatia,1987,15.16516287,6.750184184,4.649292286,2.731007378,0
Cuba,1987,12.08,11.41,5.53,5.24,0
Cyprus,1987,1.49,1.06,0.91,0.16,0
Czech Republic,1987,53.12,72.39,6.69,41.99,
Denmark,1987,30.84,6.22,10.98,11.23,0.6511
Djibouti,1987,,,,,0
Dominica,1987,,,,,0
Dominican Republic,1987,4.17,0.78,2.6,0.44,0
Ecuador,1987,1.49,2.14,5.67,2.41,0.70407
Egypt,1987,22.95,26.25,12.54,9.41,0.92788
El Salvador,1987,0.38,0.56,1.04,0.15,0
Equatorial Guinea,1987,,,,,0
Eritrea,1987,,,,,
Estonia,1987,,,,,0
Ethiopia,1987,0.28,0.37,0.86,0.39,0
Fiji,1987,,,,,0
Finland,1987,18.84,15.32,10.69,8.96,0
France,1987,52.64,84.41,99.98,105.29,0
Gabon,1987,0.25,0.51,0.31,0.34,2.11355
Gambia,1987,,,,,0
Georgia,1987,,,,,0
Germany,1987,413.18,202.82,140.92,250.29,
Ghana,1987,0.07,0.46,1.37,0.59,0
Greece,1987,30.12,10.13,12.31,7.41,0
Grenada,1987,,,,,0
Guatemala,1987,0.29,0.57,1.41,0.46,0
Guinea,1987,,,,,0
Guinea-Bissau,1987,,,,,0
Guyana,1987,,,,,0
Haiti,1987,0.22,0.19,0.34,0.06,0
Honduras,1987,0.09,0.57,0.93,0.29,0
Hungary,1987,31.43,18.64,8.38,21.7,0
Iceland,1987,0.01,0.52,0.57,0.64,0
India,1987,203.31,149.21,74.15,55.33,7.19717
Indonesia,1987,27.17,36.23,24.21,17.76,7.09491
Iran,1987,30.86,33.35,34.52,47.35,8.83885
Iraq,1987,15.12,7.47,16.7,5.49,10.10361
Ireland,1987,10.44,6.47,4.27,8.24,0
Israel,1987,16.27,4.52,5.67,2.93,0
Italy,1987,127.18,77.76,87.4,77.22,0
Jamaica,1987,1.48,1.64,0.93,0.6,0
Japan,1987,335.12,241.35,169.51,137.77,0.10842
Jordan,1987,3.66,1.31,2.87,0.78,0
Kazakhstan,1987,,,,,0
Kenya,1987,0.58,1.47,2.53,0.89,0
Kiribati,1987,,,,,0
Korea (North),1987,16.7,79.12,3.81,19.03,0
Korea (South),1987,43.97,33.43,26.62,61.93,0
Kuwait,1987,19.35,7.2,9.17,8.47,1.28876
Kyrgyzstan,1987,,,,,0
Laos,1987,,,,,0
Latvia,1987,,,,,0
Lebanon,1987,3.27,0.3,2.09,1.5,0
Lesotho,1987,,,,,0
Liberia,1987,,,,,0
Libya,1987,13.9,3.92,5.85,0.91,1.44338
Lithuania,1987,,,,,0
Luxembourg,1987,1.16,4.7,1.79,1.41,0
"Macedonia, FYR",1987,6.737538533,1.984793206,1.377459306,0.492738365,0
Madagascar,1987,,,,,0
Malawi,1987,,,,,0
Malaysia,1987,11.41,11.63,10.28,1.64,1.43789
Maldives,1987,,,,,0
Mali,1987,,,,,0
Malta,1987,1.4,0,0.45,0.09,0
Mauritania,1987,,,,,0
Mauritius,1987,,,,,0
Mexico,1987,88.9,72.35,71.23,26.99,3.88103
Moldova,1987,,,,,0
Mongolia,1987,6.34,3.28,1.32,2.41,0
Montenegro,1987,,,,,
Morocco,1987,7.39,4.36,2.87,2.81,0
Mozambique,1987,0.46,0.07,0.11,0.81,0
Myanmar,1987,2.01,1.4,1.23,0.03,0
Namibia,1987,,,,,
Nauru,1987,,,,,0
Nepal,1987,0.01,0.26,0.23,0.24,0
Netherlands,1987,51.47,44.67,23.38,42.72,0
New Zealand,1987,4.45,5.75,7.67,2,0
Nicaragua,1987,0.6,0.38,0.93,0.24,0
Niger,1987,,,,,0
Nigeria,1987,9.17,4.09,12.68,6.13,21.49593
Niue,1987,,,,,0
Norway,1987,5.44,8.71,10.1,4.14,0.64105
Oman,1987,3.64,0.48,1.24,0.94,0.56705
Pakistan,1987,11.39,17.26,11.92,7.31,1.37959
Palau,1987,,,,,
Panama,1987,0.95,0.7,1.2,0.21,0
Papua New Guinea,1987,,,,,0
Paraguay,1987,0.06,0.1,1.33,0.11,0
Peru,1987,4.07,5.47,7.1,4.51,0.64036
Philippines,1987,11.98,7.45,10.17,3.05,0
Poland,1987,253.17,61.66,24.93,101.16,0
Portugal,1987,9.5,8.16,7.78,3.36,0
Qatar,1987,6.24,5.73,1.25,0.12,0
Romania,1987,71.32,73.53,5.5,36.79,0
Russian Federation,1987,,,,,14.83301152
Rwanda,1987,,,,,0
Saint Kitts & Nevis,1987,,,,,0
Saint Lucia,1987,,,,,0
Saint Vincent & Grenadines,1987,,,,,0
Samoa,1987,,,,,0
Sao Tome & Principe,1987,,,,,0
Saudi Arabia,1987,70.68,26.21,44.97,1.52,3.66007
Senegal,1987,0.85,0.44,0.64,0.13,0
Serbia,1987,41.54032878,10.64742473,4.431953291,4.89546538,0
Seychelles,1987,,,,,0
Sierra Leone,1987,,,,,0
Singapore,1987,11.64,1.68,3.54,0.31,0
Slovakia,1987,18.69,17.32,3.54,13.96,
Slovenia,1987,6.62,3.1,2.42,1.76,0
Solomon Islands,1987,,,,,0
South Africa,1987,136.28,65.98,27.19,10.92,0
Spain,1987,68.86,42.11,47.82,21.39,0
Sri Lanka,1987,0.64,0.38,2.48,0.53,0
Sudan,1987,0.48,0.63,2,0.12,0
Suriname,1987,,,,,0
Swaziland,1987,,,,,0
Sweden,1987,13.01,12.87,19.65,13.09,0
Switzerland,1987,1.26,6.99,12.54,18.92,0
Syria,1987,5.41,6.99,5.54,6.74,0
Taiwan,1987,36.09,28.59,14.05,9.51,0
Tajikistan,1987,,,,,0
Tanzania,1987,0.29,0.36,0.65,0.28,0
Thailand,1987,17.4,8.5,17.47,6.11,0
Togo,1987,0.03,0,0.44,0.04,0
Tonga,1987,,,,,0
Trinidad & Tobago,1987,4.63,3.65,1.7,0.13,6.43145
Tunisia,1987,3.59,2.14,2.18,1.97,0
Turkey,1987,32.61,27.53,25.04,28.34,0
Turkmenistan,1987,,,,,0
Uganda,1987,,,,,0
Ukraine,1987,,,,,0
United Arab Emirates,1987,10.99,23.01,10.03,0.16,4.22711
United Kingdom,1987,245.6,91.86,105.94,119.65,3.81456
United States of America,1987,1930.32,755.6,1353.06,629.62,6.99392
Uruguay,1987,0.41,0.79,1.38,0.93,0
Uzbekistan,1987,,,,,0
Vanuatu,1987,,,,,0
Venezuela,1987,33.95,27.8,27.97,5.03,7.62321
Vietnam,1987,6.51,8.66,3.68,2.58,0
Yemen,1987,1.36,0.29,3.49,0.74,0
Zambia,1987,0.19,1.5,0.75,0.31,0
Zimbabwe,1987,6.85,3.34,2.06,1.91,0
World,1987,7409.47,4719.33,3568.63,3394.36,151.2816
European Union (15),1987,1112.35,648.3,603.19,716.7,4.46566
European Union (28),1987,1607.415163,915.4001842,664.3392923,961.1310074,4.46566
Afghanistan,1988,,,,,0.41241
Albania,1988,1.23,2.9,1.14,2.3,0
Algeria,1988,25.06,5.87,12.58,5.97,12.31688
Angola,1988,0.44,0.88,1.23,0.74,0
Antigua & Barbuda,1988,,,,,0
Argentina,1988,41.88,15.47,27.39,22.46,3.58665
Armenia,1988,,,,,0
Australia,1988,127.61,44.75,58.78,10.94,0
Austria,1988,12.38,12.81,12.61,14.31,0
Azerbaijan,1988,,,,,3.041008948
Bahamas,1988,,,,,0
Bahrain,1988,6.37,4.14,0.88,0.11,0
Bangladesh,1988,4.2,3.7,1.49,2.45,0
Barbados,1988,,,,,0
Belarus,1988,,,,,0
Belgium,1988,27.86,29.28,19.88,27.59,0
Belize,1988,,,,,0
Benin,1988,0.02,0.02,0.27,0.04,0
Bhutan,1988,,,,,0
Bolivia,1988,1.18,0.44,1.98,0.66,0.19694
Bosnia & Herzegovina,1988,8.631906315,5.525737289,2.208987969,2.987000568,0
Botswana,1988,1.12,0.59,0.45,0.08,0
Brazil,1988,29.57,59.57,75.53,26.18,2.01666
Brunei,1988,2.44,0.12,0.51,0.04,0.6575
Bulgaria,1988,42.26,18.64,6.78,14.39,0
Burkina Faso,1988,,,,,0
Burundi,1988,,,,,0
Cambodia,1988,,,,,0
Cameroon,1988,0.04,0.21,1.85,0.41,0.77325
Canada,1988,140.01,92.22,125.42,78.29,4.85708
Cape Verde,1988,,,,,0
Central African Republic,1988,,,,,0
Chad,1988,,,,,0
Chile,1988,6.78,7.53,7.66,2.63,0.39389
China,1988,589.28,927.89,119.52,475.66,0
Colombia,1988,11.88,11.3,15.71,4.53,0.50314
Comoros,1988,,,,,0
Congo,1988,0,0.05,0.52,0.08,0
"Congo, Dem. Republic",1988,0.15,0.83,0.57,1.9,0
Cook Islands,1988,,,,,0
Costa Rica,1988,0.25,0.45,1.55,0.06,0
Cote d'Ivoire,1988,0.91,0.47,1.09,0.46,0
Croatia,1988,14.70778191,6.385693173,5.097416844,2.177424801,0
Cuba,1988,12.86,11.55,5.8,5.95,0
Cyprus,1988,1.47,1.07,0.95,0.16,0
Czech Republic,1988,52.87,70.58,6.79,40.57,
Denmark,1988,28.82,5.96,10.99,9.74,0.70535
Djibouti,1988,,,,,0
Dominica,1988,,,,,0
Dominican Republic,1988,4.06,1.23,2.28,0.48,0
Ecuador,1988,1.26,1.77,6.86,2.48,1.40815
Egypt,1988,23.7,26.06,13.54,9.27,0.36084
El Salvador,1988,0.31,0.6,1.12,0.14,0
Equatorial Guinea,1988,,,,,0
Eritrea,1988,,,,,
Estonia,1988,,,,,0
Ethiopia,1988,0.27,0.47,0.89,0.34,0
Fiji,1988,,,,,0
Finland,1988,18.52,14.67,10.84,9.11,0
France,1988,55.05,82.12,106.07,97.28,0
Gabon,1988,0.25,0.61,0.34,0.44,2.2682
Gambia,1988,,,,,0
Georgia,1988,,,,,0
Germany,1988,415.5,206.67,145.82,233.23,
Ghana,1988,0.09,0.45,1.44,0.57,0
Greece,1988,32.67,10.62,13.44,7.38,0
Grenada,1988,,,,,0
Guatemala,1988,0.3,0.63,1.53,0.46,0
Guinea,1988,,,,,0
Guinea-Bissau,1988,,,,,0
Guyana,1988,,,,,0
Haiti,1988,0.23,0.21,0.37,0.06,0
Honduras,1988,0.09,0.68,0.98,0.33,0
Hungary,1988,27.79,17.77,8.42,21.35,0
Iceland,1988,0,0.55,0.59,0.67,0
India,1988,213.41,154.92,78.29,65.21,7.76388
Indonesia,1988,28.77,40.01,26.24,18.72,8.23226
Iran,1988,33.43,33.03,34.47,48.06,7.34493
Iraq,1988,17.39,10.24,17.77,5.91,9.2274
Ireland,1988,10.39,5.75,4.38,7.93,0
Israel,1988,17.65,4.6,5.89,3.01,0
Italy,1988,128.66,80.01,90.28,75.1,0
Jamaica,1988,1.62,1.56,1.04,0.63,0
Japan,1988,367.4,254.74,178.48,151.65,0
Jordan,1988,3.36,1.2,2.93,0.88,0
Kazakhstan,1988,,,,,0
Kenya,1988,0.51,1.4,2.47,1.02,0
Kiribati,1988,,,,,0
Korea (North),1988,17.11,79.9,4.02,19.44,0
Korea (South),1988,55.96,38.44,30.45,64.48,0
Kuwait,1988,21.64,9.46,10.94,11.55,1.64959
Kyrgyzstan,1988,,,,,0
Laos,1988,,,,,0
Latvia,1988,,,,,0
Lebanon,1988,2.86,0.21,1.47,0.87,0
Lesotho,1988,,,,,0
Liberia,1988,,,,,0
Libya,1988,16.38,3.16,5.94,0.9,4.69096
Lithuania,1988,,,,,0
Luxembourg,1988,1.32,4.98,1.87,1.33,0
"Macedonia, FYR",1988,7.617658021,1.87761994,1.510226469,0.392858967,0
Madagascar,1988,,,,,0
Malawi,1988,,,,,0
Malaysia,1988,12.37,11.35,11.24,1.83,0
Maldives,1988,,,,,0
Mali,1988,,,,,0
Malta,1988,1.58,0,0.45,0.09,0
Mauritania,1988,,,,,0
Mauritius,1988,,,,,0
Mexico,1988,91.17,69.06,72.55,27.37,2.64663
Moldova,1988,,,,,0
Mongolia,1988,6.8,3.1,2.07,2.22,0
Montenegro,1988,,,,,
Morocco,1988,7.66,5.06,3,2.5,0
Mozambique,1988,0.47,0.06,0.11,0.82,0
Myanmar,1988,1.85,1.31,1.25,0.03,0
Namibia,1988,,,,,
Nauru,1988,,,,,0
Nepal,1988,0.02,0.21,0.23,0.28,0
Netherlands,1988,56.33,36,24.32,38.74,0
New Zealand,1988,4.41,6.76,8.18,1.82,0
Nicaragua,1988,0.59,0.31,0.81,0.21,0
Niger,1988,,,,,0
Nigeria,1988,8.99,4.67,13.91,5.64,22.32104
Niue,1988,,,,,0
Norway,1988,6.06,8.3,10.27,3.81,0.32053
Oman,1988,3.61,0.51,1.28,1.21,0.2062
Pakistan,1988,12.71,18.13,12.79,8.02,0
Palau,1988,,,,,
Panama,1988,0.58,0.44,1.15,0.2,0
Papua New Guinea,1988,,,,,0
Paraguay,1988,0.09,0.14,1.49,0.11,0
Peru,1988,4.23,5.21,7.26,4.8,0.4574
Philippines,1988,12.09,8.39,10.92,3.23,0
Poland,1988,243.83,60.83,23.91,101.22,0
Portugal,1988,9.22,9.19,8.54,3.36,0
Qatar,1988,7.44,4.95,1.35,0.05,0
Romania,1988,75.59,76.24,5.13,34.66,0
Russian Federation,1988,,,,,32.62338105
Rwanda,1988,,,,,0
Saint Kitts & Nevis,1988,,,,,0
Saint Lucia,1988,,,,,0
Saint Vincent & Grenadines,1988,,,,,0
Samoa,1988,,,,,0
Sao Tome & Principe,1988,,,,,0
Saudi Arabia,1988,74.85,29.19,47.21,1.77,6.03138
Senegal,1988,0.87,0.39,0.54,0.16,0
Serbia,1988,47.2559864,10.07249366,4.859129512,3.903141317,0
Seychelles,1988,,,,,0
Sierra Leone,1988,,,,,0
Singapore,1988,14.45,1.53,3.46,0.33,0
Slovakia,1988,18.15,17.49,3.68,14.94,
Slovenia,1988,6.79,2.95,2.56,1.41,0
Solomon Islands,1988,,,,,0
South Africa,1988,130.98,69.7,28.39,11.95,0
Spain,1988,60.65,46.06,56.77,21.1,0
Sri Lanka,1988,0.32,0.45,2.51,0.57,0
Sudan,1988,0.55,0.73,3.16,0.14,0
Suriname,1988,,,,,0
Swaziland,1988,,,,,0
Sweden,1988,10.93,12.3,20.73,12.23,0
Switzerland,1988,1.14,6.28,13.23,18.92,0
Syria,1988,6.13,6.53,5.49,7.11,0
Taiwan,1988,43.88,33.03,16.2,9.55,0
Tajikistan,1988,,,,,0
Tanzania,1988,0.29,0.36,0.66,0.32,0
Thailand,1988,19.99,10.57,20.05,6.74,0
Togo,1988,0.04,0,0.41,0.04,0
Tonga,1988,,,,,0
Trinidad & Tobago,1988,4.63,4.99,1.32,0.23,6.43145
Tunisia,1988,3.98,2.44,2.25,2.03,0
Turkey,1988,26.3,29.47,25.47,27.68,0
Turkmenistan,1988,,,,,0
Uganda,1988,,,,,0
Ukraine,1988,,,,,0
United Arab Emirates,1988,11.93,22.8,10.37,0.32,4.58798
United Kingdom,1988,239.67,93.7,112.77,115.67,4.018
United States of America,1988,2013.7,784.52,1414.68,666.27,8.04992
Uruguay,1988,1.3,0.78,1.41,0.97,0
Uzbekistan,1988,,,,,0
Vanuatu,1988,,,,,0
Venezuela,1988,35.98,26.36,28.98,5.05,7.44729
Vietnam,1988,7.94,6.67,3.93,2.23,0
Yemen,1988,1.5,0.29,3.69,0.83,0
Zambia,1988,0.2,1.65,0.86,0.35,0
Zimbabwe,1988,6.56,3.27,2.09,1.87,0
World,1988,7673.78,4888.27,3735.1,3462.09,167.54819
European Union (15),1988,1107.97,650.12,639.31,674.1,4.72335
European Union (28),1988,1593.007782,922.0756932,703.0774168,905.0674248,4.72335
Afghanistan,1989,,,,,0.36086
Albania,1989,1.25,3.49,0.95,1.49,0
Algeria,1989,25.08,4.9,12.8,6.71,12.54927
Angola,1989,0.45,0.95,1.29,0.72,0
Antigua & Barbuda,1989,,,,,0
Argentina,1989,40.8,15.99,27.41,21.03,5.35471
Armenia,1989,,,,,0
Australia,1989,137.42,45.95,60.6,11.36,0
Austria,1989,13.19,12.91,13.03,13.36,0
Azerbaijan,1989,,,,,2.967783884
Bahamas,1989,,,,,0
Bahrain,1989,6.37,4.04,0.92,0.11,0
Bangladesh,1989,4.18,3.82,1.63,3.02,0
Barbados,1989,,,,,0
Belarus,1989,,,,,0
Belgium,1989,29.13,30.64,20.3,25.85,0
Belize,1989,,,,,0
Benin,1989,0.02,0.03,0.19,0.03,0
Bhutan,1989,,,,,0
Bolivia,1989,1.34,0.61,2.11,0.67,0.19694
Bosnia & Herzegovina,1989,8.726472468,5.886200507,2.082760085,3.029633939,0
Botswana,1989,1.24,0.57,0.53,0.13,0
Brazil,1989,28.17,59.61,78.81,27.01,1.41711
Brunei,1989,2.41,0.13,0.53,0.04,0.6575
Bulgaria,1989,41.85,18.1,7.19,14.3,0
Burkina Faso,1989,,,,,0
Burundi,1989,,,,,0
Cambodia,1989,,,,,0
Cameroon,1989,0.04,0.23,1.81,0.67,3.29921
Canada,1989,147.51,92.46,127.44,84.28,4.39343
Cape Verde,1989,,,,,0
Central African Republic,1989,,,,,0
Chad,1989,,,,,0
Chile,1989,9.64,9.11,8.21,2.82,0.44312
China,1989,664.73,935.72,121.57,469.66,0
Colombia,1989,11.74,12.19,16.05,5.25,0.41166
Comoros,1989,,,,,0
Congo,1989,0,0.08,0.5,0.07,0
"Congo, Dem. Republic",1989,0.05,0.89,0.57,1.79,0
Cook Islands,1989,,,,,0
Costa Rica,1989,0.19,0.66,1.66,0.13,0
Cote d'Ivoire,1989,0.7,0.45,1.22,0.45,0
Croatia,1989,14.06674816,6.802254329,4.806135881,2.208503121,0
Cuba,1989,13.27,12.21,5.62,6.26,0
Cyprus,1989,1.64,0.98,1.02,0.16,0
Czech Republic,1989,55.44,65.65,7.11,35.31,
Denmark,1989,24.36,5.51,11.29,8.64,0.70535
Djibouti,1989,,,,,0
Dominica,1989,,,,,0
Dominican Republic,1989,3.71,0.9,3.07,0.9,0
Ecuador,1989,1.24,1.8,6.64,2.42,1.28014
Egypt,1989,24.08,28.13,14.53,9.62,0.36084
El Salvador,1989,0.2,0.7,1.17,0.16,0
Equatorial Guinea,1989,,,,,0
Eritrea,1989,,,,,
Estonia,1989,,,,,0
Ethiopia,1989,0.27,0.54,0.92,0.34,0
Fiji,1989,,,,,0
Finland,1989,17.16,15.98,11.44,8.35,0
France,1989,68.15,81.66,108.74,97.39,0
Gabon,1989,0.3,0.28,0.41,0.14,3.14456
Gambia,1989,,,,,0
Georgia,1989,,,,,0
Germany,1989,419.21,205.7,149.27,202.64,
Ghana,1989,0.09,0.48,1.62,0.61,0
